Temperature (C)	Pressure (bar)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, kJ/kg)"	"Enthalpy (l, kJ/kg)"	"Entropy (l, J/g*K)"	"Cv (l, J/g*K)"	"Cp (l, J/g*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/bar)"	"Viscosity (l, uPa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, kJ/kg)"	"Enthalpy (v, kJ/kg)"	"Entropy (v, J/g*K)"	"Cv (v, J/g*K)"	"Cp (v, J/g*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/bar)"	"Viscosity (v, uPa*s)"	"Therm. Cond. (v, W/m*K)"
-88.686	1	1231.1	0.00081229	-0.45975	-0.37852	-0.002045	0.95803	1.7189	1135.8	-0.026378	308.51	0.20419	0.023801	2.9458	0.33947	340.2	374.15	2.0283	0.58581	0.80312	212.72	4.3147	9.1843	0.0088937
-87.352	1.0825	1227.2	0.00081489	1.8305	1.9187	0.010328	0.95624	1.7198	1127.2	-0.026151	301.19	0.20254	0.023495	3.171	0.31535	340.8	374.94	2.018	0.58926	0.80833	213.19	4.2271	9.2567	0.0089862
-86.096	1.1651	1223.5	0.00081736	3.9878	4.083	0.021901	0.9546	1.7207	1119.2	-0.025929	294.54	0.20098	0.023208	3.3952	0.29454	341.36	375.68	2.0085	0.59255	0.81334	213.63	4.1466	9.3251	0.009074
-84.908	1.2476	1219.9	0.00081972	6.0288	6.1311	0.032779	0.95308	1.7217	1111.5	-0.025712	288.46	0.19951	0.022938	3.6182	0.27638	341.89	376.37	1.9996	0.5957	0.81818	214.04	4.072	9.39	0.0091577
-83.781	1.3302	1216.6	0.00082198	7.9672	8.0766	0.043048	0.95168	1.7228	1104.3	-0.025499	282.87	0.19812	0.022681	3.8403	0.2604	342.39	377.02	1.9913	0.59873	0.82287	214.41	4.0026	9.4519	0.0092377
-82.707	1.4127	1213.4	0.00082415	9.8144	9.9309	0.052776	0.95037	1.7238	1097.4	-0.02529	277.71	0.1968	0.022437	4.0615	0.24621	342.86	377.64	1.9836	0.60164	0.82743	214.76	3.9379	9.5109	0.0093144
-81.681	1.4953	1210.3	0.00082624	11.58	11.703	0.062023	0.94914	1.7249	1090.8	-0.025085	272.91	0.19554	0.022205	4.2819	0.23354	343.3	378.22	1.9763	0.60446	0.83186	215.08	3.8772	9.5675	0.0093882
-80.698	1.5778	1207.3	0.00082826	13.272	13.402	0.070837	0.94799	1.7261	1084.5	-0.024883	268.44	0.19434	0.021982	4.5016	0.22214	343.73	378.78	1.9694	0.60717	0.83617	215.39	3.8201	9.6218	0.0094593
-79.755	1.6603	1204.5	0.00083021	14.896	15.034	0.079261	0.9469	1.7272	1078.5	-0.024684	264.25	0.19318	0.021769	4.7205	0.21184	344.13	379.31	1.9628	0.6098	0.84037	215.67	3.7663	9.6742	0.009528
-78.848	1.7429	1201.8	0.00083211	16.46	16.605	0.087331	0.94587	1.7284	1072.7	-0.024488	260.32	0.19208	0.021565	4.9388	0.20248	344.52	379.81	1.9566	0.61235	0.84448	215.94	3.7153	9.7246	0.0095945
-77.974	1.8254	1199.1	0.00083394	17.969	18.121	0.095077	0.9449	1.7295	1067.1	-0.024295	256.62	0.19101	0.021368	5.1565	0.19393	344.89	380.29	1.9507	0.61483	0.8485	216.19	3.6671	9.7734	0.009659
-77.129	1.908	1196.6	0.00083573	19.425	19.585	0.10253	0.94398	1.7307	1061.7	-0.024104	253.13	0.18998	0.021178	5.3736	0.1861	345.25	380.75	1.945	0.61724	0.85243	216.43	3.6212	9.8206	0.0097216
-76.313	1.9905	1194.1	0.00083747	20.835	21.002	0.1097	0.9431	1.7319	1056.5	-0.023915	249.82	0.18899	0.020995	5.5902	0.17889	345.59	381.2	1.9396	0.61958	0.85628	216.65	3.5776	9.8664	0.0097825
-75.522	2.073	1191.7	0.00083917	22.201	22.375	0.11663	0.94227	1.7331	1051.5	-0.023729	246.68	0.18803	0.020818	5.8062	0.17223	345.92	381.62	1.9344	0.62186	0.86006	216.87	3.5359	9.9108	0.0098418
-74.756	2.1556	1189.3	0.00084082	23.526	23.707	0.12332	0.94147	1.7343	1046.6	-0.023544	243.7	0.1871	0.020646	6.0218	0.16606	346.24	382.03	1.9295	0.62408	0.86377	217.07	3.4961	9.954	0.0098996
-74.012	2.2381	1187	0.00084244	24.813	25.001	0.1298	0.94071	1.7356	1041.8	-0.023362	240.85	0.18619	0.02048	6.237	0.16033	346.55	382.43	1.9247	0.62625	0.86741	217.26	3.458	9.996	0.009956
-73.288	2.3207	1184.8	0.00084402	26.065	26.26	0.13608	0.93997	1.7368	1037.2	-0.023181	238.14	0.18532	0.020318	6.4517	0.155	346.84	382.81	1.9201	0.62837	0.87099	217.44	3.4216	10.037	0.010011
-72.585	2.4032	1182.6	0.00084557	27.283	27.486	0.14217	0.93927	1.738	1032.7	-0.023002	235.54	0.18447	0.020161	6.666	0.15001	347.13	383.18	1.9156	0.63045	0.87451	217.62	3.3865	10.077	0.010065
-71.9	2.4858	1180.5	0.00084709	28.47	28.681	0.14808	0.9386	1.7393	1028.4	-0.022825	233.06	0.18364	0.020009	6.88	0.14535	347.41	383.54	1.9113	0.63247	0.87798	217.78	3.3529	10.116	0.010118
-71.232	2.5683	1178.4	0.00084858	29.628	29.846	0.15382	0.93795	1.7405	1024.1	-0.022649	230.68	0.18283	0.01986	7.0936	0.14097	347.68	383.88	1.9072	0.63446	0.88139	217.94	3.3205	10.154	0.010169
-70.58	2.6508	1176.4	0.00085004	30.759	30.984	0.15942	0.93733	1.7417	1020	-0.022474	228.39	0.18205	0.019715	7.3069	0.13686	347.94	384.22	1.9032	0.6364	0.88475	218.09	3.2893	10.191	0.01022
-69.944	2.7334	1174.4	0.00085147	31.863	32.096	0.16486	0.93673	1.743	1015.9	-0.022301	226.19	0.18128	0.019574	7.5198	0.13298	348.19	384.54	1.8993	0.6383	0.88807	218.23	3.2592	10.228	0.01027
-69.322	2.8159	1172.5	0.00085288	32.943	33.183	0.17017	0.93615	1.7442	1011.9	-0.022129	224.07	0.18053	0.019437	7.7325	0.12932	348.44	384.86	1.8955	0.64017	0.89134	218.37	3.2302	10.263	0.010318
-68.714	2.8985	1170.6	0.00085427	33.999	34.247	0.17534	0.93559	1.7455	1008.1	-0.021959	222.03	0.1798	0.019302	7.9448	0.12587	348.68	385.16	1.8919	0.642	0.89457	218.5	3.2022	10.298	0.010366
-68.12	2.981	1168.7	0.00085563	35.033	35.288	0.1804	0.93505	1.7467	1004.3	-0.021789	220.06	0.17909	0.019171	8.1569	0.1226	348.91	385.46	1.8883	0.6438	0.89776	218.63	3.1751	10.333	0.010413
-67.537	3.0635	1166.9	0.00085697	36.046	36.309	0.18533	0.93453	1.748	1000.6	-0.021621	218.16	0.17839	0.019042	8.3688	0.11949	349.14	385.75	1.8848	0.64557	0.90091	218.75	3.1488	10.366	0.01046
-66.967	3.1461	1165.1	0.00085829	37.039	37.309	0.19016	0.93402	1.7492	996.96	-0.021454	216.33	0.17771	0.018916	8.5803	0.11655	349.36	386.03	1.8815	0.6473	0.90402	218.86	3.1234	10.399	0.010505
-66.408	3.2286	1163.3	0.00085959	38.013	38.291	0.19488	0.93353	1.7505	993.41	-0.021288	214.55	0.17704	0.018793	8.7917	0.11374	349.58	386.3	1.8782	0.649	0.90709	218.97	3.0988	10.432	0.01055
-65.86	3.3112	1161.6	0.00086088	38.969	39.254	0.19949	0.93306	1.7517	989.92	-0.021122	212.83	0.17638	0.018673	9.0028	0.11108	349.79	386.57	1.875	0.65068	0.91013	219.08	3.0749	10.464	0.010594
-65.322	3.3937	1159.9	0.00086214	39.907	40.199	0.20401	0.93259	1.753	986.51	-0.020958	211.16	0.17574	0.018554	9.2138	0.10853	350	386.83	1.8719	0.65233	0.91314	219.18	3.0517	10.495	0.010637
-64.794	3.4763	1158.2	0.00086339	40.828	41.128	0.20844	0.93215	1.7542	983.15	-0.020795	209.54	0.17511	0.018438	9.4245	0.10611	350.2	387.08	1.8688	0.65395	0.91612	219.28	3.0292	10.526	0.01068
-64.275	3.5588	1156.6	0.00086462	41.733	42.041	0.21279	0.93171	1.7555	979.85	-0.020632	207.97	0.17449	0.018325	9.635	0.10379	350.39	387.33	1.8659	0.65555	0.91906	219.37	3.0073	10.556	0.010723
-63.766	3.6413	1155	0.00086584	42.623	42.939	0.21704	0.93129	1.7568	976.62	-0.02047	206.45	0.17388	0.018213	9.8454	0.10157	350.59	387.57	1.863	0.65712	0.92198	219.46	2.986	10.586	0.010764
-63.265	3.7239	1153.4	0.00086704	43.499	43.822	0.22122	0.93088	1.758	973.43	-0.020309	204.96	0.17328	0.018103	10.056	0.099447	350.77	387.81	1.8601	0.65867	0.92487	219.55	2.9653	10.615	0.010805
-62.773	3.8064	1151.8	0.00086823	44.36	44.69	0.22532	0.93048	1.7593	970.31	-0.020149	203.52	0.1727	0.017996	10.266	0.097413	350.96	388.04	1.8574	0.6602	0.92773	219.63	2.9452	10.644	0.010846
-62.289	3.889	1150.2	0.0008694	45.207	45.546	0.22935	0.93009	1.7605	967.23	-0.019989	202.12	0.17212	0.01789	10.475	0.095461	351.14	388.26	1.8547	0.6617	0.93057	219.71	2.9255	10.673	0.010886
-61.812	3.9715	1148.7	0.00087056	46.042	46.388	0.2333	0.92971	1.7618	964.2	-0.01983	200.75	0.17155	0.017786	10.685	0.093587	351.31	388.48	1.852	0.66319	0.93338	219.78	2.9064	10.701	0.010926
-61.343	4.054	1147.2	0.00087171	46.864	47.217	0.23719	0.92934	1.763	961.22	-0.019672	199.42	0.17099	0.017684	10.895	0.091787	351.49	388.7	1.8494	0.66465	0.93616	219.86	2.8877	10.729	0.010965
-60.881	4.1366	1145.7	0.00087284	47.674	48.035	0.24101	0.92898	1.7643	958.29	-0.019515	198.13	0.17045	0.017583	11.104	0.090055	351.66	388.91	1.8469	0.66609	0.93893	219.92	2.8695	10.756	0.011004
-60.426	4.2191	1144.2	0.00087396	48.472	48.841	0.24477	0.92863	1.7655	955.4	-0.019358	196.86	0.16991	0.017484	11.314	0.088389	351.82	389.11	1.8444	0.66752	0.94167	219.99	2.8517	10.783	0.011042
-59.978	4.3017	1142.8	0.00087507	49.259	49.635	0.24847	0.92829	1.7668	952.55	-0.019201	195.62	0.16937	0.017387	11.523	0.086784	351.98	389.31	1.8419	0.66892	0.94439	220.06	2.8344	10.81	0.01108
-59.536	4.3842	1141.3	0.00087617	50.035	50.419	0.25211	0.92796	1.768	949.74	-0.019045	194.42	0.16885	0.017291	11.732	0.085237	352.14	389.51	1.8395	0.67031	0.94709	220.12	2.8175	10.836	0.011117
-59.1	4.4668	1139.9	0.00087726	50.8	51.192	0.25569	0.92763	1.7693	946.97	-0.01889	193.24	0.16833	0.017196	11.941	0.083745	352.3	389.7	1.8372	0.67168	0.94976	220.18	2.8009	10.862	0.011155
-58.671	4.5493	1138.5	0.00087834	51.555	51.955	0.25922	0.92731	1.7706	944.24	-0.018735	192.09	0.16783	0.017103	12.15	0.082305	352.45	389.89	1.8348	0.67303	0.95242	220.23	2.7847	10.888	0.011191
-58.247	4.6318	1137.1	0.00087941	52.301	52.708	0.26269	0.927	1.7718	941.55	-0.018581	190.97	0.16732	0.017011	12.359	0.080914	352.6	390.08	1.8326	0.67437	0.95506	220.29	2.7689	10.913	0.011228
-57.829	4.7144	1135.8	0.00088047	53.037	53.452	0.26611	0.9267	1.7731	938.9	-0.018427	189.87	0.16683	0.016921	12.567	0.07957	352.75	390.26	1.8303	0.67569	0.95768	220.34	2.7534	10.939	0.011264
-57.417	4.7969	1134.4	0.00088152	53.763	54.186	0.26949	0.9264	1.7743	936.28	-0.018274	188.79	0.16634	0.016832	12.776	0.078271	352.89	390.44	1.8281	0.67699	0.96029	220.39	2.7383	10.963	0.011299
-57.009	4.8795	1133.1	0.00088256	54.481	54.912	0.27281	0.92611	1.7756	933.69	-0.018121	187.74	0.16586	0.016744	12.985	0.077013	353.04	390.61	1.826	0.67828	0.96287	220.44	2.7234	10.988	0.011335
-56.607	4.962	1131.7	0.00088359	55.19	55.628	0.27609	0.92582	1.7768	931.14	-0.017968	186.71	0.16539	0.016657	13.193	0.075796	353.18	390.79	1.8239	0.67956	0.96544	220.49	2.7089	11.012	0.011369
-56.21	5.0445	1130.4	0.00088461	55.89	56.337	0.27933	0.92554	1.7781	928.61	-0.017816	185.69	0.16492	0.016572	13.402	0.074617	353.31	390.95	1.8218	0.68082	0.96799	220.53	2.6947	11.036	0.011404
-55.818	5.1271	1129.1	0.00088563	56.583	57.037	0.28252	0.92527	1.7793	926.12	-0.017664	184.7	0.16446	0.016487	13.61	0.073475	353.45	391.12	1.8197	0.68206	0.97053	220.57	2.6808	11.06	0.011439
-55.431	5.2096	1127.9	0.00088663	57.267	57.729	0.28567	0.92501	1.7806	923.66	-0.017513	183.73	0.164	0.016404	13.818	0.072367	353.58	391.28	1.8177	0.6833	0.97305	220.61	2.6671	11.084	0.011473
-55.048	5.2922	1126.6	0.00088763	57.944	58.413	0.28877	0.92474	1.7818	921.23	-0.017362	182.78	0.16355	0.016321	14.027	0.071293	353.71	391.44	1.8157	0.68452	0.97556	220.65	2.6537	11.107	0.011506
-54.67	5.3747	1125.3	0.00088862	58.613	59.09	0.29184	0.92449	1.7831	918.82	-0.017211	181.85	0.1631	0.01624	14.235	0.07025	353.84	391.6	1.8137	0.68573	0.97805	220.69	2.6406	11.13	0.01154
-54.296	5.4572	1124.1	0.0008896	59.275	59.76	0.29487	0.92424	1.7843	916.44	-0.017061	180.93	0.16266	0.01616	14.443	0.069237	353.97	391.75	1.8118	0.68692	0.98053	220.72	2.6277	11.153	0.011573
-53.926	5.5398	1122.9	0.00089058	59.929	60.423	0.29786	0.92399	1.7856	914.09	-0.016911	180.04	0.16223	0.01608	14.651	0.068254	354.09	391.9	1.8099	0.6881	0.983	220.76	2.615	11.175	0.011606
-53.56	5.6223	1121.6	0.00089155	60.577	61.078	0.30082	0.92375	1.7868	911.77	-0.016761	179.15	0.1618	0.016002	14.859	0.067298	354.21	392.05	1.808	0.68927	0.98545	220.79	2.6026	11.198	0.011639
